l,cl
436,2.525862432088315e-07
437,2.530844035111323e-07
438,2.4646987189000443e-07
439,2.464461913741585e-07
440,2.4341176921758846e-07
441,2.4846671964261214e-07
442,2.463540190438215e-07
443,2.436490993465372e-07
444,2.42569878480402e-07
445,2.3755447689701503e-07
446,2.4022966619177915e-07
447,2.4097773970358197e-07
448,2.4192276328140097e-07
449,2.355623166304683e-07
450,2.385666872183702e-07
451,2.3744357542858966e-07
452,2.408375890976302e-07
453,2.425012169011119e-07
454,2.3337464455625444e-07
455,2.333546786416448e-07
456,2.3204860675262434e-07
457,2.328477087419649e-07
458,2.311908248654653e-07
459,2.287404304016903e-07
460,2.3137898941208734e-07
461,2.2751637240375385e-07
462,2.2581568357641995e-07
463,2.2704133082833695e-07
464,2.2563168519842915e-07
465,2.2788591099956386e-07
466,2.232972836223807e-07
467,2.222786928288093e-07
468,2.2406518636924557e-07
469,2.2470687088017473e-07
470,2.25666246704159e-07
471,2.203528376835063e-07
472,2.198158384088515e-07
473,2.1935475329064315e-07
474,2.17096093409555e-07
475,2.1816607915160094e-07
476,2.161640360231032e-07
477,2.1778854725692798e-07
478,2.152263595552096e-07
479,2.123668961117649e-07
480,2.1460026520404742e-07
481,2.1175544412211597e-07
482,2.120501844198605e-07
483,2.1417707631487048e-07
484,2.13067434368296e-07
485,2.1081582559285398e-07
486,2.1526282643933946e-07
487,2.1244855206445038e-07
488,2.0859474508425391e-07
489,2.0854606057274833e-07
490,2.0630684205049278e-07
491,2.054332811296025e-07
492,2.0563830086289688e-07
493,2.0855713828951306e-07
494,2.0445382344352438e-07
495,2.0241582068918988e-07
496,2.0306235096810436e-07
497,2.0558435402298023e-07
498,2.0222578950369648e-07
499,2.073018853854442e-07
500,2.0573942557574563e-07
501,1.98802165890603e-07
502,2.027546209389666e-07
503,2.0204241685403535e-07
504,2.029491969352387e-07
505,1.9923599942722494e-07
506,1.978592264512367e-07
507,1.95774923037415e-07
508,1.9430900587115305e-07
509,1.9581651699847442e-07
510,1.9753802437674364e-07
511,1.9588578863574758e-07
512,1.9446896604405625e-07
513,1.903771629764619e-07
514,1.912677324129635e-07
515,1.925437908165549e-07
516,1.938384219924159e-07
517,1.9272818722472331e-07
518,1.9133756294458956e-07
519,1.915974305721261e-07
520,1.9108489348777907e-07
521,1.8803515462009464e-07
522,1.8819820695543025e-07
523,1.8911094564588088e-07
524,1.870172386712606e-07
525,1.872538551874576e-07
526,1.8866356964490563e-07
527,1.8658381969976338e-07
528,1.842976585073206e-07
529,1.8418341975933667e-07
530,1.8483393965757406e-07
531,1.854141576784084e-07
532,1.8125600965419862e-07
533,1.8061726430645637e-07
534,1.8730465026266327e-07
535,1.8368430461014746e-07
536,1.8090477781978229e-07
537,1.8203845504410155e-07
538,1.8090453421395035e-07
539,1.840710560579663e-07
540,1.7849683869036802e-07
541,1.7997259477364983e-07
542,1.7892383747255466e-07
543,1.7880997567037362e-07
544,1.7770030348224084e-07
545,1.7789371002629804e-07
546,1.7510317239378024e-07
547,1.7941427766865617e-07
548,1.713550236519474e-07
549,1.7614045297792324e-07
550,1.752362265961688e-07
551,1.745453075319434e-07
552,1.7223438462428628e-07
553,1.7611425776397273e-07
554,1.714154249677224e-07
555,1.7426894813688643e-07
556,1.7180419576831327e-07
557,1.7123501613231276e-07
558,1.72677972502599e-07
559,1.6992038445089064e-07
560,1.6980786051095246e-07
561,1.6829157049127065e-07
562,1.6627605419599083e-07
563,1.6835206754876374e-07
564,1.691137880414836e-07
565,1.645826792676522e-07
566,1.6354008302170731e-07
567,1.6410977316933285e-07
568,1.6653323326750311e-07
569,1.634786736946535e-07
570,1.625019314538083e-07
571,1.646658163505415e-07
572,1.6370210343825725e-07
573,1.6477515293562175e-07
574,1.6459071928023623e-07
575,1.641624723153056e-07
576,1.646406371932186e-07
577,1.626913124457227e-07
578,1.6106688167122608e-07
579,1.5951093263891454e-07
580,1.6062634295910334e-07
581,1.6006635710761246e-07
582,1.5928193279414114e-07
583,1.586189278376485e-07
584,1.559469901503479e-07
585,1.600455538802818e-07
586,1.579794146041042e-07
587,1.5682986980970255e-07
588,1.5679041660894717e-07
589,1.5229464035904847e-07
590,1.5699721163185326e-07
591,1.5562469154421783e-07
592,1.5486705652374384e-07
593,1.543625736170855e-07
594,1.536266397487799e-07
595,1.5369815614723692e-07
596,1.5189592732535896e-07
597,1.5222620483407424e-07
598,1.5277751243331e-07
599,1.5429432903823257e-07
600,1.5157547823559278e-07
601,1.511306412639899e-07
602,1.5298681145813264e-07
603,1.5113657445236115e-07
604,1.502840284032113e-07
605,1.4958967425216082e-07
606,1.5159513297014133e-07
607,1.4935665845118352e-07
608,1.509984702992179e-07
609,1.4744336473909843e-07
610,1.4829719683228268e-07
611,1.4544323474153985e-07
612,1.4767553681682713e-07
613,1.4742237944423586e-07
614,1.460031984307138e-07
615,1.4539738772128777e-07
616,1.4482131752995276e-07
617,1.4169332905273593e-07
618,1.4831888312640799e-07
619,1.4228005391130627e-07
620,1.4538362815570454e-07
621,1.4416459831522068e-07
622,1.4536712151918934e-07
623,1.4508867142292136e-07
624,1.4635740731687308e-07
625,1.420607259951541e-07
626,1.4348093745445279e-07
627,1.4215597174023585e-07
628,1.4085783753313304e-07
629,1.427269810924619e-07
630,1.4153122752182272e-07
631,1.3827814765449843e-07
632,1.4060264244586062e-07
633,1.389051010096899e-07
634,1.4103462302750922e-07
635,1.406488949806678e-07
636,1.3947556699234358e-07
637,1.3805844643847342e-07
638,1.3731699507045283e-07
639,1.3848971495532062e-07
640,1.396325384518545e-07
641,1.3808196933215677e-07
642,1.356508024523883e-07
643,1.348369768662299e-07
644,1.3301328317255747e-07
645,1.3537703235261001e-07
646,1.357923119511956e-07
647,1.3556359693250167e-07
648,1.34375986542261e-07
649,1.3475055510156636e-07
650,1.3462075326251822e-07
651,1.362931506019317e-07
652,1.3355688300575854e-07
653,1.3333239271001463e-07
654,1.3649014091578228e-07
655,1.3199662331293865e-07
656,1.335264521726662e-07
657,1.3178636462224338e-07
658,1.333275570188767e-07
659,1.304213500090214e-07
660,1.3297707441145514e-07
661,1.2904021751650514e-07
662,1.315713133935291e-07
663,1.3056781158866398e-07
664,1.2985296509696388e-07
665,1.32501502164018e-07
666,1.2863442386803797e-07
667,1.2933610777720517e-07
668,1.288659672560424e-07
669,1.2974020466860947e-07
670,1.2982195910589272e-07
671,1.2667303603000763e-07
672,1.2859361456610036e-07
673,1.302500187803511e-07
674,1.2544625296038254e-07
675,1.248111400370348e-07
676,1.2856551920350003e-07
677,1.271926408908107e-07
678,1.2921170262357778e-07
679,1.264825639596967e-07
680,1.2411612383742645e-07
681,1.2690522434828012e-07
682,1.2568808421507156e-07
683,1.26175220139375e-07
684,1.2421523935271352e-07
685,1.2670024891104774e-07
686,1.2578410712199117e-07
687,1.2483511569505913e-07
688,1.233244402572486e-07
689,1.2242127308396245e-07
690,1.2401040215720618e-07
691,1.242262181578446e-07
692,1.238663219714857e-07
693,1.2459807458527718e-07
694,1.2259053324071585e-07
695,1.2104476983662508e-07
696,1.200384106593302e-07
697,1.2384308281168524e-07
698,1.2332198970406393e-07
699,1.2022851077873878e-07
700,1.206702458626308e-07
701,1.2074188728481448e-07
702,1.204313973780358e-07
703,1.2052355643702035e-07
704,1.2069527579874455e-07
705,1.195621070802348e-07
706,1.1953634302971857e-07
707,1.1837547315064103e-07
708,1.1800905532385833e-07
709,1.1512351448247463e-07
710,1.2126554057143171e-07
711,1.1815795772858347e-07
712,1.1884049210955352e-07
713,1.1690717861106086e-07
714,1.1736976609818365e-07
715,1.179645066902772e-07
716,1.1791219315255634e-07
717,1.1394534407744173e-07
718,1.1563244841132031e-07
719,1.1609087883212982e-07
720,1.1414033492469602e-07
721,1.1576803945746052e-07
722,1.1470629996793349e-07
723,1.1477247415262957e-07
724,1.153138570237339e-07
725,1.1537881226805116e-07
726,1.1406760288372844e-07
727,1.1438465109085459e-07
728,1.1433879496264144e-07
729,1.1612735201646421e-07
730,1.1387852212732185e-07
731,1.1443212956212246e-07
732,1.111579546457643e-07
733,1.132157451695706e-07
734,1.1111670673395137e-07
735,1.1205456241969673e-07
736,1.1311697966694181e-07
737,1.1039260337768632e-07
738,1.1058881106745041e-07
739,1.0869452000477425e-07
740,1.1199870042080167e-07
741,1.1225970086072689e-07
742,1.1201711822193715e-07
743,1.1351222983834958e-07
744,1.0898731917952986e-07
745,1.1083018570344009e-07
746,1.0978558749899432e-07
747,1.0824423689012634e-07
748,1.0957495954519637e-07
749,1.1096588441705904e-07
750,1.0882927398598571e-07
751,1.1017761801648555e-07
752,1.0913328020072024e-07
753,1.079235341518057e-07
754,1.0926659723459476e-07
755,1.0782098768783561e-07
756,1.0835865488354032e-07
757,1.054596091012288e-07
758,1.0811212274829352e-07
759,1.0694895867578288e-07
760,1.0723027866731925e-07
761,1.0568736708109097e-07
762,1.0573999321080966e-07
763,1.0538034080871893e-07
764,1.0550728229086973e-07
765,1.0579778697547579e-07
766,1.0519350525407113e-07
767,1.0448984696118926e-07
768,1.0449259321154063e-07
769,1.0542144179576196e-07
770,1.044087936069461e-07
771,1.0449357849369649e-07
772,1.0330104831743813e-07
773,1.0461430984042002e-07
774,1.0327762990545303e-07
775,1.0307905124573436e-07
776,1.0426148275598885e-07
777,1.0330298036523383e-07
778,1.0321971386961654e-07
779,1.0431225144114279e-07
780,1.0064241213041603e-07
781,1.0335680485180894e-07
782,1.0120556184701965e-07
783,1.0145988484682463e-07
784,1.0254315648736237e-07
785,1.0119375355076596e-07
786,1.0078188952300453e-07
787,1.0026192330319158e-07
788,1.0071782932737026e-07
789,1.0231264243821485e-07
790,1.0090057049053294e-07
791,1.0099588634860103e-07
792,1.0218457612819195e-07
793,1.0074396248880637e-07
794,1.0223306266399409e-07
795,9.819023080460076e-08
796,9.834347979578449e-08
797,9.927875826369909e-08
798,1.0025856064264818e-07
799,9.901107752053638e-08
800,9.966276666466764e-08
801,1.009612224172932e-07
802,9.878014730230884e-08
803,9.755671306763728e-08
804,9.683734307049666e-08
805,9.728370721259006e-08
806,9.733474237932422e-08
807,9.802209602857853e-08
808,9.895958832809102e-08
809,9.733244219703874e-08
810,9.634716206706079e-08
811,9.654529734225651e-08
812,9.647213212703625e-08
813,9.61428335306698e-08
814,9.710017326701083e-08
815,9.671458174353961e-08
816,9.800991418880049e-08
817,9.798961208668705e-08
818,9.623451609077078e-08
819,9.512053105474497e-08
820,9.470385331126667e-08
821,9.681253282974568e-08
822,9.48630365502151e-08
823,9.410192097911165e-08
824,9.517103254440312e-08
825,9.678068631579683e-08
826,9.372950841983881e-08
827,9.50789455431123e-08
828,9.510515048339461e-08
829,9.489351719293199e-08
830,9.268196495853303e-08
831,9.321566521499448e-08
832,9.217401036080641e-08
833,9.37828220899006e-08
834,9.327469706514448e-08
835,9.397663142768374e-08
836,9.389212811846123e-08
837,9.33758609197555e-08
838,9.291179573275911e-08
839,9.278133716836992e-08
840,9.186231541102109e-08
841,9.102569959518975e-08
842,9.062746571703928e-08
843,9.210998797012832e-08
844,9.097324169189232e-08
845,9.332290115830906e-08
846,9.121013402018062e-08
847,9.217151004650888e-08
848,9.08616810459694e-08
849,9.072428958566018e-08
850,9.0760810915264e-08
851,9.156418409653299e-08
852,9.091884922348041e-08
853,8.99574178351374e-08
854,8.941261578805946e-08
855,9.020636417356346e-08
856,9.101705667865295e-08
857,8.983017328121062e-08
858,8.862229992180556e-08
859,8.864580887137333e-08
860,9.076582493996606e-08
861,8.872921963593112e-08
862,8.910457499775319e-08
863,8.846851261784611e-08
864,8.877176493612397e-08
865,8.911890949327252e-08
866,8.859012929377388e-08
867,8.660560679734962e-08
868,8.738707141646772e-08
869,8.771380179280534e-08
870,8.778901829019094e-08
871,8.549200447144924e-08
872,8.633625527204927e-08
873,8.829810977889919e-08
874,8.811175942168016e-08
875,8.687140048799508e-08
876,8.752385147175394e-08
877,8.619443444296199e-08
878,8.641740590413616e-08
879,8.650714942051268e-08
880,8.628603474991169e-08
881,8.593738907100105e-08
882,8.640074008405098e-08
883,8.608892281942368e-08
884,8.45839273404906e-08
885,8.68899583314478e-08
886,8.579808020390474e-08
887,8.536276385922019e-08
888,8.459122158953738e-08
889,8.440142670648228e-08
890,8.502147260585839e-08
891,8.437486744246035e-08
892,8.443634503087002e-08
893,8.564497708099674e-08
894,8.395794560360582e-08
895,8.484620577273816e-08
896,8.433110585585454e-08
897,8.352069399797713e-08
898,8.610236503146022e-08
899,8.421757171061891e-08
900,8.389501273690288e-08
901,8.337438027194826e-08
902,8.47138719781046e-08
903,8.223366018641365e-08
904,8.3534563496518e-08
905,8.12532603903451e-08
906,8.444655134601236e-08
907,8.433790755661352e-08
908,8.161272621445686e-08
909,8.308715599344936e-08
910,8.275404126834572e-08
911,8.339685473793425e-08
912,8.24392726056308e-08
913,8.215545256466732e-08
914,8.169664121937833e-08
915,8.17919498435409e-08
